"FUND_CODE","FUND_NAME","ITEM_TYPE","SOURCE_DESCRIPTION","CATEGORY","src.cat"
"7F22L","CNS/NeuroSci/Fell","650055000901","MSU","Gift Aid","MSU_GiftAid"
"7F23L","CNS/NeuroSCi/Fell","650055000902","MSU","Gift Aid","MSU_GiftAid"
"7F99L","CNS/Physics/Astron/Fell","650055000907","MSU","Gift Aid","MSU_GiftAid"
"MCS","Michigan Competitive Scholarship","650155000000","State","Gift Aid","State_GiftAid"
"M_MCS","Michigan Competitive Scholarship","650155000001","State","Gift Aid","State_GiftAid"
"MCVP","MI Child of Veteran Prog","650155000005","State","Gift Aid","State_GiftAid"
"MFFP","MI Fostering Future Prgm","650155000010","State","Gift Aid","State_GiftAid"
"3452","Tuition Incentive Program","650155000030","State","Gift Aid","State_GiftAid"
"M_3452","Tuition Incentive Program","650155000031","State","Gift Aid","State_GiftAid"
"3452L","Tuition Incentive Progrm","650155000035","State","Gift Aid","State_GiftAid"
"3104C","MI Police/Firefighters Act","650155000040","State","Gift Aid","State_GiftAid"
"MSTG","Survivor Tuition Grant","650155000041","State","Gift Aid","State_GiftAid"
"3452C","Tuition Incentive Program","650155000045","State","Gift Aid","State_GiftAid"
"M_3452C","Tuition Incentive Program","650155000046","State","Gift Aid","State_GiftAid"
"7F63L","CANR/Performance/Fell","650255000819","MSU","Gift Aid","MSU_GiftAid"
"7F64L","CoEd/EdAdmin/Fell","650255000820","MSU","Gift Aid","MSU_GiftAid"
"7F65L","CSS/Sociology/Fell","650255000821","MSU","Gift Aid","MSU_GiftAid"
"7F66L","Broad/SupChainMgn/Fell","650255000822","MSU","Gift Aid","MSU_GiftAid"
"7404L","DiscFund/Dean/CSS/Fellow","650255000823","MSU","Gift Aid","MSU_GiftAid"
"7F68L","CNS/BioChemMolec/Fell","650255000825","MSU","Gift Aid","MSU_GiftAid"
"7A58L","CNS/PLB/Rsh/Fell","650255000826","MSU","Gift Aid","MSU_GiftAid"
"7036L","Hammer/Dean/CVM/Fellow","650255000827","MSU","Gift Aid","MSU_GiftAid"
"7E20L","CANR/AnimalSci/Fell","650255000828","MSU","Gift Aid","MSU_GiftAid"
"7F70L","CANR/PlantSoilSci/Fell","650255000829","MSU","Gift Aid","MSU_GiftAid"
"7F72L","CSS/Sociology/Fell","650255000830","MSU","Gift Aid","MSU_GiftAid"
"7F73L","CANR/Forestry/Fell","650255000831","MSU","Gift Aid","MSU_GiftAid"
"7F74L","CANR/FishWildlife/Fell","650255000832","MSU","Gift Aid","MSU_GiftAid"
"7F46L","JMCollege/Moon/Fell","650255000833","MSU","Gift Aid","MSU_GiftAid"
"7F48L","ColEng/MechEngTrvl/Fell","650255000834","MSU","Gift Aid","MSU_GiftAid"
"7F49L","CVM/PharmandTox/Fell","650255000835","MSU","Gift Aid","MSU_GiftAid"
"7876L","SocialWork/CSS/Fellow","650255000836","MSU","Gift Aid","MSU_GiftAid"
"7F51L","CNS/NatSciDean/Fell","650255000837","MSU","Gift Aid","MSU_GiftAid"
"7F52L","COMed/OsteoMedDean/Fell","650255000838","MSU","Gift Aid","MSU_GiftAid"
"7F55L","AProv/UnivOutEngage/Fell","650255000839","MSU","Gift Aid","MSU_GiftAid"
"7F84L","CoEd/EdAdministration/Fe","650255000841","MSU","Gift Aid","MSU_GiftAid"
"7F85L","CoEn/MechEngine/Fell","650255000842","MSU","Gift Aid","MSU_GiftAid"
"7F86L","CAL/English/Fell","650255000843","MSU","Gift Aid","MSU_GiftAid"
"7F87L","CoEn/MechanicEng/Fell","650255000844","MSU","Gift Aid","MSU_GiftAid"
"7F88L","GOF/AAGASupplement/Fell","650255000845","MSU","Gift Aid","MSU_GiftAid"
"7F89L","CVM/FFARAward/Fell","650255000846","MSU","Gift Aid","MSU_GiftAid"
"7F91L","CHM/EdipandBiost/Fell","650255000847","MSU","Gift Aid","MSU_GiftAid"
"7F92L","CSS/PsychNRSA/Fell","650255000848","MSU","Gift Aid","MSU_GiftAid"
"7F61L","CVM/VetMedDean/Fell","650255000849","MSU","Gift Aid","MSU_GiftAid"
"7445L","CNS/BioChemMolec/Fell","650255000850","MSU","Gift Aid","MSU_GiftAid"
"7C28L","CVM/VetMedDean/Fell","650255000851","MSU","Gift Aid","MSU_GiftAid"
"7832L","CVM/VetMedDean/Fell","650255000852","MSU","Gift Aid","MSU_GiftAid"
"7F93L","CoEn/ElecComputEn/Fell","650255000853","MSU","Gift Aid","MSU_GiftAid"
"7F96L","CNS/PhysicsAstro/Fell","650255000854","MSU","Gift Aid","MSU_GiftAid"
"7A37L","CAL/Philosophy/Gen/Fell","650255000855","MSU","Gift Aid","MSU_GiftAid"
"7F97L","CNS/NatSciDean/Fell","650255000856","MSU","Gift Aid","MSU_GiftAid"
"7F98L","ColEd/EdAdmin/Fell","650255000857","MSU","Gift Aid","MSU_GiftAid"
"7I63L","CNS/Chem/Disc/Fell","650255000858","MSU","Gift Aid","MSU_GiftAid"
"7489L","S&S/Physiology/CHM","650255000859","MSU","Gift Aid","MSU_GiftAid"
"7G01L","CNS/BiochemMolec/Fell","650255000860","MSU","Gift Aid","MSU_GiftAid"
"7846L","CHM/HumanMedTuit/Fell","650255000861","MSU","Gift Aid","MSU_GiftAid"
"7G02L","ColEd/CounsEdPsychSp/Fel","650255000862","MSU","Gift Aid","MSU_GiftAid"
"7G03L","CSS/PsychologyTuit/Fell","650255000863","MSU","Gift Aid","MSU_GiftAid"
"7H24L","CNS/Geology/Rsh/Fell","650255000864","MSU","Gift Aid","MSU_GiftAid"
"7G04L","CANR/BiosystemAgri/Fell","650255000865","MSU","Gift Aid","MSU_GiftAid"
"7725L","Sup&Ser/Art/CAL/Fellow","650255000866","MSU","Gift Aid","MSU_GiftAid"
"7G05L","ENDUREMatch/NeuroSci/Fel","650255000867","MSU","Gift Aid","MSU_GiftAid"
"7D52L","MGACorp/Endow/DOEn/Fell","650255000868","MSU","Gift Aid","MSU_GiftAid"
"7C31L","COEn/CSE/SiegelSU/Fell","650255000869","MSU","Gift Aid","MSU_GiftAid"
"7392L","Horticulture/CANR/Fell","650255000871","MSU","Gift Aid","MSU_GiftAid"
"7F24L","CoEd/CounsEducPsychSp/Fe","650255000874","MSU","Gift Aid","MSU_GiftAid"
"7D89L","VetMed/PharmTox/Fell","650255000875","MSU","Gift Aid","MSU_GiftAid"
"7B80L","CHM/NIH/ARID1A/Fell","650255000876","MSU","Gift Aid","MSU_GiftAid"
"7G10L","CNS/PBHS/Fell","650255000877","MSU","Gift Aid","MSU_GiftAid"
"7291L","EducationAdmin/CoEd/Fell","650255000880","MSU","Gift Aid","MSU_GiftAid"
"7H89L","CVM/StdPrograms/Fell","650255000881","MSU","Gift Aid","MSU_GiftAid"
"7G15L","AssocProv/UnivOutreach/F","650255000882","MSU","Gift Aid","MSU_GiftAid"
"7G16L","CAL/NatlYouthSummit/Fell","650255000883","MSU","Gift Aid","MSU_GiftAid"
"7A20L","ISP/IntlActvy/China/Fell","650255000884","MSU","Gift Aid","MSU_GiftAid"
"3940L","COM/OsteoMedDean/Fell","650255000885","MSU","Gift Aid","MSU_GiftAid"
"7G19L","CoEd/CounsPsychSp/Fell","650255000886","MSU","Gift Aid","MSU_GiftAid"
"7G23L","CANR/BioAgriEngin/Fell","650255000887","MSU","Gift Aid","MSU_GiftAid"
"7G24L","CVM/PharmTox/Fell","650255000888","MSU","Gift Aid","MSU_GiftAid"
"7G25L","CNS/EarthEnvrSci/Fell","650255000889","MSU","Gift Aid","MSU_GiftAid"
"7G26L","EBCB/AcctInfoSystem/Fell","650255000890","MSU","Gift Aid","MSU_GiftAid"
"7G27L","CSS/SocialWork/Fell","650255000891","MSU","Gift Aid","MSU_GiftAid"
"7G28L","EBCB/AcctInfoSystem/Fell","650255000892","MSU","Gift Aid","MSU_GiftAid"
"7G30L","CoE/MechanEng/Fell","650255000894","MSU","Gift Aid","MSU_GiftAid"
"7F36L","WalesEndow/Fell","650255000895","MSU","Gift Aid","MSU_GiftAid"
"7G32L","CS/PoliticalSci/Fell","650255000896","MSU","Gift Aid","MSU_GiftAid"
"7G33L","CSS/Psychology/Fell","650255000897","MSU","Gift Aid","MSU_GiftAid"
"7G35L","CVM/PharmaTox/Fell","650255000898","MSU","Gift Aid","MSU_GiftAid"
"7G38L","CSS/History/Fell","650255000899","MSU","Gift Aid","MSU_GiftAid"
"7697L","Murphy/AgEcon/CANR/Fello","650255000900","MSU","Gift Aid","MSU_GiftAid"
"7G39L","CoE/ElecComputEng/Fell","650255000901","MSU","Gift Aid","MSU_GiftAid"
"7G40L","CANR/PlanDesignCons/Fell","650255000902","MSU","Gift Aid","MSU_GiftAid"
"7254L","CANR/Hort/S&S/Fell","650255000903","MSU","Gift Aid","MSU_GiftAid"
"7H63L","ISP/AfrnStudy/IntAct/Fel","650255000904","MSU","Gift Aid","MSU_GiftAid"
"7G41L","CAL/Germanic/Fell","650255000905","MSU","Gift Aid","MSU_GiftAid"
"7H64L","CAN/Food/Fell","650255000906","MSU","Gift Aid","MSU_GiftAid"
"7255L","CNS/Neuroscience/Fell","650255000907","MSU","Gift Aid","MSU_GiftAid"
"7H65L","CAN/Animal/Fell","650255000908","MSU","Gift Aid","MSU_GiftAid"
"AECF","Adverse Circumstance Fnd","651245000000","MSU","Gift Aid","MSU_GiftAid"
"AGTC","MSU Ag Tech Grant","651245000005","MSU","Gift Aid","MSU_GiftAid"
"SLFS","Site Leader Fresh Seminr","651245000011","MSU","Gift Aid","MSU_GiftAid"
"3900","ComDev Block Grant","651245000012","MSU","Gift Aid","MSU_GiftAid"
"CCG1","MSU Child Care Grant","651245000015","MSU","Gift Aid","MSU_GiftAid"
"MDVP","Disabled Vet Assistance","651245000025","MSU","Gift Aid","MSU_GiftAid"
"MDVPU","Disabled Vet Assis Sumr","651245000030","MSU","Gift Aid","MSU_GiftAid"
"MSS","MSU Spartan Scholarship","651245000055","MSU","Gift Aid","MSU_GiftAid"
"MSSR","MSU Spartan Scholarship","651245000060","MSU","Gift Aid","MSU_GiftAid"
"MSUA","MSU Academic Alliance","651245000065","MSU","Gift Aid","MSU_GiftAid"
"MSUD","MSU Detroit Promise Schl","651245000070","MSU","Gift Aid","MSU_GiftAid"
"MSWG","MSU Spartans Will Grant","651245000075","MSU","Gift Aid","MSU_GiftAid"
"SAG","MSU Student Aid Grant","651245000090","MSU","Gift Aid","MSU_GiftAid"
"M_SAG","MSU Student Aid Grant","651245000091","MSU","Gift Aid","MSU_GiftAid"
"MAG","MSU Offset Grant","651245000096","MSU","Gift Aid","MSU_GiftAid"
"SAGI","MSU Spartan Grant","651245000100","MSU","Gift Aid","MSU_GiftAid"
"SAGM","MSU Med Student Grant","651245000105","MSU","Gift Aid","MSU_GiftAid"
"M_SAGM","MSU Med Student Grant","651245000106","MSU","Gift Aid","MSU_GiftAid"
"SAGR","MSU Student Aid Grant","651245000115","MSU","Gift Aid","MSU_GiftAid"
"SPAD","MSU Spartan Advantage","651245000120","MSU","Gift Aid","MSU_GiftAid"
"M_SPAD","MSU Spartan Advantage","651245000123","MSU","Gift Aid","MSU_GiftAid"
"USAG","MSU Student Aid Grant","651245000125","MSU","Gift Aid","MSU_GiftAid"
"M_USAG","MSU Student Aid Grant","651245000126","MSU","Gift Aid","MSU_GiftAid"
"2179","Cadre Tuition Award","651245000135","MSU","Gift Aid","MSU_GiftAid"
"2179L","Cadre Tuition Award","651245000140","MSU","Gift Aid","MSU_GiftAid"
"250E","MSU Arts & Ltr Merit Awd","651245000145","MSU","Gift Aid","MSU_GiftAid"
"251E","MSU Comm Arts Merit Awd","651245000150","MSU","Gift Aid","MSU_GiftAid"
"252E","MSU Coll of Ed Merit Awd","651245000155","MSU","Gift Aid","MSU_GiftAid"
"254E","MSU Forestry Merit Awd","651245000160","MSU","Gift Aid","MSU_GiftAid"
"255E","ACT Horatio Alger Match","651245000165","MSU","Gift Aid","MSU_GiftAid"
"255F","Sheet Metal Matching","651245000170","MSU","Gift Aid","MSU_GiftAid"
"256E","MSU Theatre Merit Awd","651245000175","MSU","Gift Aid","MSU_GiftAid"
"257E","MSU Plant Sci Merit Awd","651245000180","MSU","Gift Aid","MSU_GiftAid"
"1006H","Trustees' Transfer Schlr","651250000000","MSU","Gift Aid","MSU_GiftAid"
"1006L","Trustees' Transfer Schlr","651250000005","MSU","Gift Aid","MSU_GiftAid"
"1016","Giampalmi, Anita Endowed","651250000010","MSU","Gift Aid","MSU_GiftAid"
"1017A","Jamie Bunnell Sch Music","651250000020","MSU","Gift Aid","MSU_GiftAid"
"1017B","Jazz Studies Award","651250000025","MSU","Gift Aid","MSU_GiftAid"
"1017F","John Douglass Newman Sch","651250000035","MSU","Gift Aid","MSU_GiftAid"
"1020","Greater Alanta Schlrship","651250000040","MSU","Gift Aid","MSU_GiftAid"
"1021","MSU Club of Dayton Award","651250000045","MSU","Gift Aid","MSU_GiftAid"
"1026","Scarpino,Rachel Memorial","651250000050","MSU","Gift Aid","MSU_GiftAid"
"1027","Yeager Science Eng Endow","651250000055","MSU","Gift Aid","MSU_GiftAid"
"1028","Graves, Jacob M Scholar","651250000060","MSU","Gift Aid","MSU_GiftAid"
"1029","Workman Rob&Cath Schlrsp","651250000065","MSU","Gift Aid","MSU_GiftAid"
"1031L","Phi Theta Kappa Schlrshp","651250000070","MSU","Gift Aid","MSU_GiftAid"
"1032A","Kraft David Memorial Sch","651250000075","MSU","Gift Aid","MSU_GiftAid"
"1033","Mathias,John May Mem Sch","651250000080","MSU","Gift Aid","MSU_GiftAid"
"1034","Newman Minnie Scholarshp","651250000085","MSU","Gift Aid","MSU_GiftAid"
"1035","Lynd Family Scholarship","651250000090","MSU","Gift Aid","MSU_GiftAid"
"1036","Hornbeck Jack & Anne Sch","651250000095","MSU","Gift Aid","MSU_GiftAid"
"1038","Adams, A Gordon Jr Award","651250000100","MSU","Gift Aid","MSU_GiftAid"
"1039R","Hemond, Catherine Schols","651250000110","MSU","Gift Aid","MSU_GiftAid"
"1042","Hartt, Jay Samuel Award","651250000115","MSU","Gift Aid","MSU_GiftAid"
"1045","Briggs, Donald Award","651250000120","MSU","Gift Aid","MSU_GiftAid"
"1046","Hannah, John & Sarah Sch","651250000125","MSU","Gift Aid","MSU_GiftAid"
"1048","Gratrick,Wilford & Verna","651250000130","MSU","Gift Aid","MSU_GiftAid"
"1049","Langeveld, Howard","651250000135","MSU","Gift Aid","MSU_GiftAid"
"1052","Bandeen/NMC Award","651250000140","MSU","Gift Aid","MSU_GiftAid"
"1054","Remington, Leona Kinde","651250000145","MSU","Gift Aid","MSU_GiftAid"
"1055","Bailey, Merrill&Zona Sch","651250000150","MSU","Gift Aid","MSU_GiftAid"
"1062","Spanninga Endowed Schols","651250000155","MSU","Gift Aid","MSU_GiftAid"
"1063","Stanish, Robert Endowed","651250000160","MSU","Gift Aid","MSU_GiftAid"
"1071","Mehas Endowed Scholarshp","651250000165","MSU","Gift Aid","MSU_GiftAid"
"1101L","Lumsden-Valrence Schlar","651250000171","MSU","Gift Aid","MSU_GiftAid"
"1113","Colden, Betty&Mitch Schl","651250000175","MSU","Gift Aid","MSU_GiftAid"
"1114","Willis, Edwin and Linda","651250000180","MSU","Gift Aid","MSU_GiftAid"
"1118","Gurian Scholarship","651250000190","MSU","Gift Aid","MSU_GiftAid"
"1133","AT & T Housing Schlrshp","651250000195","MSU","Gift Aid","MSU_GiftAid"
"1134","Barant Scholarship","651250000200","MSU","Gift Aid","MSU_GiftAid"
"1135L","Richard J Benefiel Sch","651250000206","MSU","Gift Aid","MSU_GiftAid"
"1137","Brittain Scholarship","651250000210","MSU","Gift Aid","MSU_GiftAid"
"1141","Jenkins Memorial Schlr","651250000215","MSU","Gift Aid","MSU_GiftAid"
"1143","Calhoun County Alumni","651250000220","MSU","Gift Aid","MSU_GiftAid"
"1144","Kittleson, Arth&Lois Sch","651250000225","MSU","Gift Aid","MSU_GiftAid"
"1148","Englehardt Scholarship","651250000230","MSU","Gift Aid","MSU_GiftAid"
"1150","Glick, Gene Memorial Sch","651250000240","MSU","Gift Aid","MSU_GiftAid"
"1151","Fox Endowed Scholarship","651250000245","MSU","Gift Aid","MSU_GiftAid"
"1153","Gach, Harold Scholarship","651250000250","MSU","Gift Aid","MSU_GiftAid"
"1154","Gilpin, Albert & Audrey","651250000255","MSU","Gift Aid","MSU_GiftAid"
"1155","MSURA Student Scholars","651250000260","MSU","Gift Aid","MSU_GiftAid"
"1157","Leutzinger, G Edward","651250000265","MSU","Gift Aid","MSU_GiftAid"
"1161R","Herbert Endowed Schlrshp","651250000270","MSU","Gift Aid","MSU_GiftAid"
"1165L","Hueschen Science Scholar","651250000280","MSU","Gift Aid","MSU_GiftAid"
"1165T","Hueschen Sci Tuition","651250000281","MSU","Gift Aid","MSU_GiftAid"
"1166","Kalmbach Scholarship","651250000285","MSU","Gift Aid","MSU_GiftAid"
"1167","Stewart Lucille Endowed","651250000290","MSU","Gift Aid","MSU_GiftAid"
"1168","Laza, Stephen & Joan","651250000295","MSU","Gift Aid","MSU_GiftAid"
"1170","Ayers/Willert Schlshp","651250000300","MSU","Gift Aid","MSU_GiftAid"
"1171","Macomb County Alumni","651250000305","MSU","Gift Aid","MSU_GiftAid"
"1173","Colorado Alumni Endowed","651250000315","MSU","Gift Aid","MSU_GiftAid"
"1176","MSU Family Fund Schlrshp","651250000320","MSU","Gift Aid","MSU_GiftAid"
"1177","Moore, Marian Scholarshp","651250000325","MSU","Gift Aid","MSU_GiftAid"
"1178","Magic Johnson Schlrshp","651250000330","MSU","Gift Aid","MSU_GiftAid"
"1179","Steve Smith Scholarship","651250000335","MSU","Gift Aid","MSU_GiftAid"
"1181","Miller, Keith&Gertrude","651250000340","MSU","Gift Aid","MSU_GiftAid"
"1182","McNally Scholarship","651250000345","MSU","Gift Aid","MSU_GiftAid"
"1184","Henney Endowed Scho","651250000350","MSU","Gift Aid","MSU_GiftAid"
"2045","Computer Science Scholarship/Fel","651250000351","MSU","Gift Aid","MSU_GiftAid"
"2158","IBM Computer Science Alumni Scho","651250000352","MSU","Gift Aid","MSU_GiftAid"
"2174","Richard C. Dubes Enwd Schol","651250000353","MSU","Gift Aid","MSU_GiftAid"
"2187","Richard Reed Scholar/Fellowship","651250000354","MSU","Gift Aid","MSU_GiftAid"
"1185","Midland Distinguished","651250000355","MSU","Gift Aid","MSU_GiftAid"
"2032","Hsiung Kimball Award","651250000358","MSU","Gift Aid","MSU_GiftAid"
"1187","Moss Memorial Schlrshp","651250000360","MSU","Gift Aid","MSU_GiftAid"
"1188","SW Mich Urban League","651250000370","MSU","Gift Aid","MSU_GiftAid"
"1189","Pedler - Muskegon Alumni","651250000375","MSU","Gift Aid","MSU_GiftAid"
"1191","Alum Club-Washtenaw Cty","651250000380","MSU","Gift Aid","MSU_GiftAid"
"1193R","Alum Club-New York","651250000390","MSU","Gift Aid","MSU_GiftAid"
"1194","Alum Club-Metro Chicago","651250000395","MSU","Gift Aid","MSU_GiftAid"
"1196","Muskegon Area Alumni","651250000400","MSU","Gift Aid","MSU_GiftAid"
"1197","Alum Club-Jackson County","651250000405","MSU","Gift Aid","MSU_GiftAid"
"1198","Alumni Club-Nashville","651250000406","MSU","Gift Aid","MSU_GiftAid"
"2603","Hampton Roads Spartan","651250000407","MSU","Gift Aid","MSU_GiftAid"
"1199","Alumni Club-Cadillac","651250000410","MSU","Gift Aid","MSU_GiftAid"
"1202","Northeast Ohio Alumni","651250000420","MSU","Gift Aid","MSU_GiftAid"
"1203","McCristal Spirit of MSU","651250000425","MSU","Gift Aid","MSU_GiftAid"
"1206R","Alum Clb-Dallas/Ft Worth","651250000435","MSU","Gift Aid","MSU_GiftAid"
"1207","Alumni Club-Seattle","651250000440","MSU","Gift Aid","MSU_GiftAid"
"1209R","Alum Clb S Florida Scho","651250000446","MSU","Gift Aid","MSU_GiftAid"
"1211","Alumni Club Oakland Ctny","651250000450","MSU","Gift Aid","MSU_GiftAid"
"1212","MSU Promise Endow Sclshp","651250000455","MSU","Gift Aid","MSU_GiftAid"
"1251","Shrake, George & Hilda","651250000460","MSU","Gift Aid","MSU_GiftAid"
"1260L","Sperber,Walter & Shirley","651250000475","MSU","Gift Aid","MSU_GiftAid"
"1262","Sisson,Bert & Karol Schl","651250000480","MSU","Gift Aid","MSU_GiftAid"
"1290","Wisconsin Alumni Schlr","651250000485","MSU","Gift Aid","MSU_GiftAid"
"1299R","Kelley/Herceg Scholrship","651250000490","MSU","Gift Aid","MSU_GiftAid"
"1501","Grtr LA Alumni Assoc Sch","651250000495","MSU","Gift Aid","MSU_GiftAid"
"1614","MSU Alumni Clb Hillsdale","651250000500","MSU","Gift Aid","MSU_GiftAid"
"2000F","Baldwin Foundation Award","651250000505","MSU","Gift Aid","MSU_GiftAid"
"2000H","Rasmussen Hanna Memorial","651250000510","MSU","Gift Aid","MSU_GiftAid"
"2000J","Nordberg James Award","651250000515","MSU","Gift Aid","MSU_GiftAid"
"2000N","Nordberg James Award","651250000520","MSU","Gift Aid","MSU_GiftAid"
"2000R","Rasmussen Hanna Memorial","651250000525","MSU","Gift Aid","MSU_GiftAid"
"2000S","Speeker Guy AD Scholar","651250000530","MSU","Gift Aid","MSU_GiftAid"
"2001L","Forest Akers Stipend","651250000540","MSU","Gift Aid","MSU_GiftAid"
"2001T","Forest Akers Tuition","651250000541","MSU","Gift Aid","MSU_GiftAid"
"2003","A. Gordon Adams Scholar","651250000550","MSU","Gift Aid","MSU_GiftAid"
"2006","Adams A Gordon Scholarsp","651250000560","MSU","Gift Aid","MSU_GiftAid"
"2007","Alsup, Edna & Dallas Sch","651250000565","MSU","Gift Aid","MSU_GiftAid"
"2008","Arens MSU Community Club","651250000570","MSU","Gift Aid","MSU_GiftAid"
"200A","Lanzen Spartan Challenge","651250000585","MSU","Gift Aid","MSU_GiftAid"
"200B","McLelland Spartan Schol.","651250000590","MSU","Gift Aid","MSU_GiftAid"
"200C","Wallace Sue Spartan Schl","651250000595","MSU","Gift Aid","MSU_GiftAid"
"200D","Atkinson Spartan Scholar","651250000600","MSU","Gift Aid","MSU_GiftAid"
"200E","Michael Atkinson Spartan","651250000605","MSU","Gift Aid","MSU_GiftAid"
"200F","Stapleton Spartan Schlr","651250000610","MSU","Gift Aid","MSU_GiftAid"
"200G","Billman James Spartan","651250000615","MSU","Gift Aid","MSU_GiftAid"
"200H","Browning David Spartan","651250000620","MSU","Gift Aid","MSU_GiftAid"
"200I","Browning Zoology Award","651250000625","MSU","Gift Aid","MSU_GiftAid"
"200J","Byrum James & Dianne","651250000630","MSU","Gift Aid","MSU_GiftAid"
"200K","Dashney, Mac and Helen","651250000631","MSU","Gift Aid","MSU_GiftAid"
"200L","Ferris Debate Spartan","651250000635","MSU","Gift Aid","MSU_GiftAid"
"200M","Ferris Spartan Challenge","651250000640","MSU","Gift Aid","MSU_GiftAid"
"200N","Gill Spartan Challenge","651250000645","MSU","Gift Aid","MSU_GiftAid"
"200O","Haefner Spartan Chllenge","651250000650","MSU","Gift Aid","MSU_GiftAid"
"200P","Petersen George Spartan","651250000655","MSU","Gift Aid","MSU_GiftAid"
"200Q","Rautio Roy & Kristene","651250000660","MSU","Gift Aid","MSU_GiftAid"
"200R","Silvestri Spartan Educ","651250000665","MSU","Gift Aid","MSU_GiftAid"
"200S","Silvestri Spartan Enging","651250000670","MSU","Gift Aid","MSU_GiftAid"
"200T","Simpson William & Janice","651250000675","MSU","Gift Aid","MSU_GiftAid"
"200U","Spartan Schlrshp Chllnge","651250000680","MSU","Gift Aid","MSU_GiftAid"
"200W","Hugh Brady Spartan Award","651250000685","MSU","Gift Aid","MSU_GiftAid"
"200X","Hoover Family Spartan","651250000690","MSU","Gift Aid","MSU_GiftAid"
"200Y","Hoover Education Spartan","651250000695","MSU","Gift Aid","MSU_GiftAid"
"200Z","Stavoe-Horiszny Spartan","651250000700","MSU","Gift Aid","MSU_GiftAid"
"2013","Augenstein Mem Sch Fund","651250000705","MSU","Gift Aid","MSU_GiftAid"
"2015A","Hentschel Schafer Scholr","651250000710","MSU","Gift Aid","MSU_GiftAid"
"2016","Ashley Lee J & Grace","651250000715","MSU","Gift Aid","MSU_GiftAid"
"2017","Allen, Ruth Vet Med Schl","651250000720","MSU","Gift Aid","MSU_GiftAid"
"201A","ASMSU Spartan Sch Chllng","651250000725","MSU","Gift Aid","MSU_GiftAid"
"201B","James Madison Spt Chllng","651250000730","MSU","Gift Aid","MSU_GiftAid"
"201D","Blyth Spartan Sch Chlng","651250000740","MSU","Gift Aid","MSU_GiftAid"
"201E","Fitzgerald Spartan Chlng","651250000745","MSU","Gift Aid","MSU_GiftAid"
"201F","Barr Mary Spartan Chlng","651250000750","MSU","Gift Aid","MSU_GiftAid"
"201G","Huston Spartan Sch Chlng","651250000755","MSU","Gift Aid","MSU_GiftAid"
"201I","Scianamblo Spartan Chalg","651250000760","MSU","Gift Aid","MSU_GiftAid"
"201J","Lee Peter & Patricia SSC","651250000765","MSU","Gift Aid","MSU_GiftAid"
"201K","Wagner Spartan Challenge","651250000770","MSU","Gift Aid","MSU_GiftAid"
"201L","Burns Spartan Challenge","651250000775","MSU","Gift Aid","MSU_GiftAid"
"201M","Honors College Sptn Chlg","651250000780","MSU","Gift Aid","MSU_GiftAid"
"201N","Day, Denver & Jeanne SSC","651250000785","MSU","Gift Aid","MSU_GiftAid"
"201O","Walters Family SSC","651250000790","MSU","Gift Aid","MSU_GiftAid"
"201P","Ferrari Micel&Janice SSC","651250000795","MSU","Gift Aid","MSU_GiftAid"
"201Q","Pitzer, Susie SSC","651250000800","MSU","Gift Aid","MSU_GiftAid"
"201R","Brewster Spartan Scholar","651250000805","MSU","Gift Aid","MSU_GiftAid"
